DC,FP,SM,FR,WC,AL,CL,IC,CT,AFR,CFR,SC,BP,Pt_Util
18.3,12,0,0.8,0.27,0.4,0.4,0.43,70,200,500,0.05,0,1.68
20.7,-20,0,0.6,0.3,0.3,0.2,0.43,70,200,500,0.045,0,1.05
20.7,-20,0,0.6,0.3,0.2,0.4,0.43,80,300,1500,0.045,0,0.78
20.7,-20,0,0.6,0.25,0.2,0.4,0.33,80,300,1500,0.036,0.2,0.71
20.7,-20,0,0.4,0.3,0.2,0.4,0.43,70,300,1500,0.045,0.2,0.52
20.7,-20,0,0.6,0.3,0.2,0.3,0.43,70,200,500,0.045,0,0.93
20.7,-20,0,0.6,0.3,0.1,0.3,0.43,70,200,500,0.045,0,0.63
18.3,12,0,0.5,0.27,0.05,0.15,0.54,70,200,500,0.045,0,0.35
25.7,12,1,0.7,0.32,0.2,0.5,0.43,70,200,500,0.06,0,1.3
20.7,-20,0,0.4,0.3,0.2,0.4,0.43,70,200,500,0.045,0,0.91
20.7,-20,0,0.3,0.3,0.2,0.4,0.33,80,300,1500,0.045,0.2,0.63
18.3,12,0,0.2,0.27,0.2,0.4,0.54,80,300,1500,0.045,0.2,0.56
17.8,35,0,0.8,0.19,0.5,0.2,0.46,70,200,500,0.033,0,1.64
20.7,-20,0,0.6,0.16,0.2,0.6,0.43,70,200,500,0.048,0,1.47
20.7,-20,0,0.2,0.3,0.2,0.4,0.43,70,200,500,0.045,0,0.88
18.3,12,0,0.2,0.27,0.05,0.2,0.54,80,300,1500,0.045,0.2,0.22
20.7,-20,0,0.5,0.25,0.2,0.4,0.33,70,200,500,0.036,0,1.11
20.7,-20,0,0.4,0.16,0.2,0.45,0.43,70,200,500,0.048,0,1.04
18.3,12,0,0.2,0.27,0.05,0.1,0.54,70,200,500,0.045,0,0.31
20.7,-20,0,0.8,0.3,0.2,0.2,0.43,70,200,500,0.033,0,0.95
18.3,12,0,0.6,0.27,0.2,0.4,0.43,70,200,500,0.05,0,0.91
18.3,12,0,0.2,0.27,0.05,0.15,0.54,70,200,500,0.045,0,0.35
20.7,-20,0,0.2,0.3,0.1,0.2,0.33,80,300,1500,0.045,0.2,0.29
18.3,12,0,0.6,0.27,0.2,0.4,0.43,80,200,500,0.05,0,0.87
18.3,12,0,0.2,0.27,0.1,0.2,4,80,300,1500,0.045,0.2,1
17.8,35,0,0.8,0.19,0.4,0.1,0.46,70,200,500,0.033,0,1.4
32.6,12,0,0.8,0.29,0.4,0.2,0.44,70,200,500,0.05,0,1.24
18.3,12,0,0.8,0.16,0.2,0.4,0.43,70,200,500,0.048,0,1.11
17.1,35,0,0.6,0.176470588,0.1,0.2,0.25,80,300,1500,0.026,0.2,0.55
17.1,35,0,0.6,0.196731114,0.1,0.2,0.43,80,300,1500,0.0277,0.2,0.45
38.8,12.8,0,0.2,0.27,0.2,0.4,0.43,70,200,500,0.05,0,0.87
25.7,12,1,0.8,0.27,0.2,0.4,0.43,70,200,500,0.05,0,1.32
18.3,12,0,0.8,0.16,0.2,0.4,0.43,70,200,500,0.048,0,1.25
