Membrane Thickness (¦Ìm),GDE(GDE for GDE CCM for CCM),Solvant Type,Stirring Method (Mechanical for Mechanical Stirring Ultrasound for Ultrasound),Stirring Temp (¡æ),Flow Rate (mL min-1),Water Content (wt%),Nafion EW (mol g-1),Anodic Platinum Loading Amount (mgPt cm-2),Cathodic Platinum Loading Amount (mgPt cm-2),Drying Temperature (¡æ),I/C,Cell Temperature (¡æ),Anode Flow Rate (sccm),Cathode Flow Rate (sccm),Backpressure (Mpa),Active Area (cm2),Solid Content (wt%),Pt Consumption per kW@0.65V (mgpt kW-1)
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.1,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.67,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.15,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT70,AFR200,CFR500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.3~0.6,WC40~,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT15,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
